STATE,DATE,SITE_ID,SITE_NAME,SITE_LOCATION,SIZE_OF_WOODED_AREA_ACRES,%ASH,OVERSTORY_DOMINANT_SPECIES,OVERSTORY_2ND_MOST_ABUNDANT,OVERSTORY_3RD_MOST_ABUNDANT,EAB_DENSITY,COMMENTS,STATUS,USER_ID,ORIGIN,POINT_X,POINT_Y,PLOT_TYPE,SITE_ID_OF_PAIR_RC,TOPOGRAPHIC POSITION,FLOODING,DEGREE_OF_ISOLATION
Michigan,"8/30/2012, 8:00 PM","2,120",HNFPR,"Huron National Forest, South Branch Pine River at S. Cruzen Rd.",900,100%,black ash,green ash,aspen/poplar,Medium,"Releases were done by Karlis Lazda, Zone Silviculturist Huron-Manistee National Forest Mio Ranger District 989-826-3252 ex 3332",Approved,lsbauer,Program,-83.46,44.57,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"9/6/2012, 8:00 PM","2,121",HNFHG,Huron National Forest near Hardy Grade FS site 4312,900,75%,black ash,green ash,basswood,Medium,Releases were done by: Karlis Lazda Zone Silviculturist Huron-Manistee National Forest Mio Ranger District 989-826-3252 ex 3332,Approved,lsbauer,Program,-83.87,44.68,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"4/18/2013, 8:00 PM","2,229",MNF-BB-31R,"Manistee National Forest, Brandy Brook, 31 Rd. S.",0,50%,,,,,Tet-release method study: pupae in ash bolt treatment; Oobius released as adults; comp stand C124s10,Approved,lsbauer,Research,-85.52,44.23,Release,"2,680",,,
Michigan,"4/18/2013, 8:00 PM","2,225",MNF-PMR-GC,"Manistee National Forest, Pere Marquette River, Green Cottage",0,50%,,,,,Tet-release method study: adult release treatment; Oobius released as adults; comp stand C70 s68,Approved,lsbauer,Research,-85.88,43.86,Release,,,,
Michigan,"4/18/2013, 8:00 PM","2,226",MNF-CF-7R,"Manistee National Forest, Caberfae, 7 Rd.",0,50%,,,,,Tet-release method study: pupae in ash bolt treatment; Oobius released as adults; comp stand C15s48,Approved,lsbauer,Research,-85.75,44.23,Release,"2,679",,,
Michigan,"4/18/2013, 8:00 PM","2,228",MNF-BB-33.5R,"Manistee National Forest, Brandybrook, 33-1/2 Rd",0,50%,,,,,Tet-release method study: pupae in ash bolt method; Oobius released as adults; comp stand C129s94,Approved,lsbauer,Research,-85.49,44.28,Release,"2,681",,,
Michigan,"4/18/2013, 8:00 PM","2,230",MNF-BMR-RB,"Manistee National Forest, Big Manistee River, Red Bridge",0,50%,,,,,Tet-release method study: pupae in ash bolt treatment; Oobius released as adults; comp stand C406 s61,Approved,lsbauer,Research,-85.86,44.28,Release,"2,683",,,
Michigan,"4/18/2013, 8:00 PM","2,231",MNF-BMR-SR,"Manistee National Forest, Big Manistee River, Sheep Ranch",0,50%,,,,,Tet-release method study: pupae in ash bolt treatment; Oobius released as adults; comp stand C406 s8,Approved,lsbauer,Research,-85.86,44.31,Release,,,,
Michigan,"4/18/2013, 8:00 PM","2,224",MNF-PMR-BL,"Manistee National Forest, Pere Marquette River, Bowman Landing",0,50%,,,,,Tet-release method study: adult-release treatment; Oobius released as adults; comp stand C40 s40,Approved,lsbauer,Research,-85.94,43.89,Release,"2,677",,,
Michigan,"4/18/2013, 8:00 PM","2,227",MNF-CF-PL,"Manistee National Forest, Caberfae, Powerline",0,50%,,,,,tet-release method study: pupae in ash bolt treatment; Oobius released as adults; comp stand C15 s18 & 23,Approved,lsbauer,Research,-85.7,44.23,Release,,,,
Michigan,"4/18/2013, 8:00 PM","2,233",MNF-RB-BC,"Manistee National Forest, Rainbow Bend, Bear Creek",0,50%,,,,,Tet-release method study: pupae in ash bolt treatment; Oobius released as adults; comp stand C324 s7,Approved,lsbauer,Research,-86.12,44.29,Release,"2,685",,,
Michigan,"4/18/2013, 8:00 PM","2,234",MNF-RB-HB,"Manistee National Forest, Rainbow Bend, High Bridge",0,50%,,,,,Tet-release method study: pupae in ash bolt treatment; Oobius released as adults; comp stand C104s21,Approved,lsbauer,Research,-86.01,44.27,Release,,,,
Michigan,"4/18/2013, 8:00 PM","2,235",MNF-WL-SBPM,"Manistee National Forest, Whelan Lake, FR 6661",0,50%,,,,,Tet-release method study: adult-release method; Oobius was released as adults; comp stand C49 s15,Approved,lsbauer,Research,-86.17,43.91,Release,"2,686",,,
Michigan,"4/18/2013, 8:00 PM","2,236",MNF-WL-IT,"Manistee National Forest, Whelan Lake, Indian Trail Rd",0,50%,,,,,Tet-release method study: Adult-release treatment; Oobius released as adults; comp stand C94 s20,Approved,lsbauer,Research,-86.15,43.9,Release,"2,687",,,
Michigan,"4/18/2013, 8:00 PM","2,237",MNF-LMR-RR,"Manistee National Forest, Little Manistee River, River Rd",0,50%,,,,,Tet-release method study: adult-release treatment; Oobius released as adults; comp stand C1 s68,Approved,lsbauer,Research,-85.91,44.1,Release,,,,
Michigan,"4/18/2013, 8:00 PM","2,238",MNF-LMR-OG,"Manistee National Forest, Little Manistee River, Old Grade",0,50%,,,,,Tet-release method study: adult-release treatment; Oobius released as adults; comp stand C302 s9,Approved,lsbauer,Research,-85.85,44.06,Release,"2,689",,,
Michigan,"4/16/2012, 8:00 PM","1,993",Maintenance,"Wilco Road the corner of wilco and entrance to maintenance hill, Leelanau County, Sleeping Bear Dunes National Lakeshore",2.16,25%,red maple,green ash,beech,Low,"This location has a variety of different sized ash trees ranging from 5""to 25"" DBH. This location does not have an signs or symptoms of EAB; however, it is near locations that have medium EAB infestation.",Rejected,SLBENRM,Program,-86.06,44.8,,,,,
Michigan,"7/1/2012, 8:00 PM","2,044",gordon bio sta,"Michigan, Lake County, Ellsworth Twp.",60,<25%,black/red oak,sugar maple,basswood,Medium,Ron McCarty cell 231-388-4912 Chris Bowyer cell 231-590-5684,Approved,Rockwell,Program,-85.66,44.05,,,,,
Michigan,"4/11/2012, 8:00 PM","2,031",Otter Creek/Platte Plains2,"Platte Plains trailhead, Benzie County, MI, Sleeping Bear Dunes National Lakeshore",3,<25%,white ash,red maple,beech,High,"DBH ranges fom 5"" to 25"". High EAB density. Exit holes, woodpecker damage or epicormic shoots are visible. We do not intend to necessarily release biocontrol at all of these sites, rather we wanted options.",Rejected,SLBENRM,Program,-86.06,44.76,,,,,
Michigan,"4/26/2012, 8:00 PM","1,995",Aral Hill Rd,"Aral Hill Rd, Benzie County, MI, Sleeping Bear Dunes National Lakeshore,",2.5,25%,red maple,white ash,black/red oak,Low,"Visual observations of woodpeckers damaging ash trees in this area. Some trees have woodpecker damage in the upper crown while others have damage lower. Did not observe epicormic shoots. Trees are mature ash around 25"" DBH",Rejected,SLBENRM,Program,-86.07,44.77,,,,,
Michigan,"2/11/2012, 7:00 PM",62,MI Powerline,Mi Powerline,"999,999.00",100%,other species,other species,other species,High,"Overstory Composition, percentage ash, acres, and eab density is not real data as of 03_29_2012",Approved,bfeldt,Program,-86.51,45.87,,,,,
Michigan,"6/2/2013, 8:00 PM","2,296",MNF-PMR-JR,"Manistee National Forest, Pere Marquette River, James Rd. South",0,,,,,,Tet-release method study: adult- release treatment; Oobius released as adults; comp stand C72 s16,Approved,lsbauer,Research,-85.84,43.86,Release,,,,
Michigan,"7/18/2013, 8:00 PM","2,412",HIANF-8Lake,"Hiawatha National Forest, Mackinac Co., MI., St. Ignace",12,25%,aspen/poplar,,black ash,Medium,"Black Ash trees ranging from 1-10"" DBH. Most of the ash is less than 4"" DBH. EAB is moderate to high.",Approved,mallmaras,Program,-84.77,45.94,Release,,Level,Wet all year,Connected to other woodlots
Michigan,"7/18/2013, 8:00 PM","2,413",HIANF-Satigo,"Hiawatha National Forest, Mackinac Co., MI., St. Ignace",20,25%,sugar maple,white ash,aspen/poplar,Low,"There is ash throughout the stand, but most of the infested trees are near a road. The ash range in size from seedlings to 12"" DBH",Approved,mallmaras,Program,-84.76,45.97,Release,,Level,Dry all year,Connected to other woodlots
Michigan,"7/18/2013, 8:00 PM","2,414",HIANF-East Lake,"Hiawath National Forest, Mackinac Co., MI., St. Ignace",20,50%,black ash,aspen/poplar,spruce,High,"EAB infestation ranges from healthy crowns to dead. Ash range from 1"" to 14"" DBH.",Approved,mallmaras,Program,-84.78,46.15,Release,,Level,Wet all year,Connected to other woodlots
Michigan,"7/21/2013, 8:00 PM","2,415",HIANF-Charles Moran,"Hiawatha National Forest, Mackinac Co., MI, St. Ignace",25,25%,sugar maple,green ash,aspen/poplar,High,"Black/Gree Ash range in size from seedlings to 20"" DBH. Black ash in low land areas, green ash in higher ground. Larger trees infested, lots of smaller healthy trees.",Approved,mallmaras,Program,-84.76,46,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/21/2013, 8:00 PM","2,416",HIANF-Black Point,"Hiawatha National Forest, Mackinac Co, MI, St. Ignace",30,25%,sugar maple,spruce,green ash,Low,"Black/Green Ash: seedling to 14"" DBH. Both wet and dry areas. EAB and Ash spotty thorugh the south part of the stand. The Black ash is more infested. Most of the infested trees are near the road.",Approved,mallmaras,Program,-84.93,46.03,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/24/2013, 8:00 PM","2,420",HNFRL,Huron National Forest near Reid Lake,900,25%,green ash,aspen/poplar,yellow birch,Medium,null,Approved,lsbauer,Program,-83.68,44.65,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/24/2013, 8:00 PM","2,422",EMMET-LBT,"578 Hill Rd Harbor Springs, Emmet Co., MI",60,25%,white ash,sugar maple,beech,Medium,"Mixed hardwoods with areas of white ash (some recently harvested-salvaged), EAB densities low to moderate. Good ash regeneration & mixture of stem sizes.",Approved,lsbauer,Program,-85,45.63,Release,,,Dry all year,Connected to other woodlots
Michigan,"8/12/2013, 8:00 PM","2,600",MNF-CF-M55,"Manistee National Forest, Caberfae, M55 east",0,,,,,,oobius adult release,Approved,lsbauer,Program,-85.72,44.22,Release,"2,678",,,
Michigan,"7/31/2014, 8:00 PM","2,656",Eastport Haack,"Central Lake, Antrim Co, MI",0,,,,,,Release of oobius proposed for 1 August 2014 in ash plot with active EAB,Approved,rhaack,Program,-85.33,45.11,Release,,,,
Michigan,"7/29/2014, 8:00 PM","2,672",HIANFM2,"Hiawatha National Forest, near Clear Lake south of Munising, MI",0,,,,,,,Approved,lsbauer,Program,-86.4,46.25,Release,,,,
Michigan,"7/29/2014, 8:00 PM","2,673",HIANFN,"Hiawatha National Forest, south of Nahma, MI",0,,,,,,,Approved,lsbauer,Program,-86.68,45.85,Release,,,,
Michigan,"8/10/2014, 8:00 PM","2,675",MNF-PMR-JR_C,Mac Rd north,0,,,,,,,Approved,msands,Research,-85.97,43.9,Control,"2,224",,,
Michigan,"8/10/2014, 8:00 PM","2,676",MNF-PMR-BL_C,Mac Rd south,0,,,,,,,Approved,msands,Research,-85.96,43.89,Control,"2,224",,,
Michigan,"8/10/2014, 8:00 PM","2,677",MNF-PMR-GC_C,Gleason's Landing,0,,,,,,,Approved,msands,Research,-85.92,43.87,Control,"2,224",,,
Michigan,"8/10/2014, 8:00 PM","2,678",MNF-CF-7R_C,M-55 west,0,,,,,,,Approved,msands,Research,-85.73,44.22,Control,"2,600",,,
Michigan,"8/10/2014, 8:00 PM","2,679",MNF-CF-PL_C,Peterson Creek,0,,,,,,,Approved,msands,Research,-85.78,44.23,Control,"2,226",,,
Michigan,"8/10/2014, 8:00 PM","2,680",MNF-BB-31R_C,"Brandybrook, 29-1/4 Rd",0,,,,,,,Approved,msands,Research,-85.53,44.23,Control,"2,229",,,
Michigan,"8/10/2014, 8:00 PM","2,681",MNF-BB-33.5R_C,"Brandybrook, 36 Rd",0,,,,,,,Approved,msands,Research,-85.56,44.27,Control,"2,228",,,
Michigan,"8/10/2014, 8:00 PM","2,682",MNF-BMR-RB_C,Peterson Creek Rd,0,,,,,,,Approved,msands,Research,-85.88,44.26,Control,"2,230",,,
Michigan,"8/10/2014, 8:00 PM","2,683",MNF-BMR-SR_C,Pole & Upper River Rds,0,,,,,,,Approved,msands,Research,-85.86,44.3,Control,"2,230",,,
Michigan,"8/10/2014, 8:00 PM","2,684",MNF-RB-BC_C,Rainbow Bend Landing,0,,,,,,,Approved,msands,Research,-86.15,44.29,Control,"2,233",,,
Michigan,"8/10/2014, 8:00 PM","2,685",MNF-RB-HB_C,NW of Blacksmith Bayou,0,,,,,,,Approved,msands,Research,-86.04,44.26,Control,"2,233",,,
Michigan,"8/10/2014, 8:00 PM","2,686",MNF-WL-SBPM_C,Wilson & Poplar Rds,0,,,,,,,Approved,msands,Research,-86.17,43.92,Control,"2,235",,,
Michigan,"8/10/2014, 8:00 PM","2,687",MNF-WL-IT_C,Hawley Rd,0,,,,,,,Approved,msands,Research,-86.15,43.88,Control,"2,236",,,
Michigan,"8/10/2014, 8:00 PM","2,688",MNF-LMR-OG_C,N. Astor Rd,0,,,,,,,Approved,msands,Research,-85.86,44.06,Control,"2,238",,,
Michigan,"8/10/2014, 8:00 PM","2,689",MNF-LMR-RR_C,Peacock landing,0,,,,,,,Approved,msands,Research,-85.88,44.07,Control,"2,238",,,
Michigan,"9/25/2014, 8:00 PM","2,773",HIANFAuTrain,"Hiawatha National Forest West, along the Au Train River",0,,,,,,"For information on release sites contact Tom Desy, Forester, USFS,Hiawatha NF, Rapid River, MI (906) 474-6442 ext. 130 tdesy@fs.fed.us",Approved,lsbauer,Program,-86.86,46.42,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,828",VSGA1,Vestaburg State Game Area,0,,,,,,Oobius only. 250 to be released every week for 4 weeks (total 1000) starting on dd800.,Approved,tpetrice,Research,-84.94,43.38,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,829",VSGA2,Vestaburg State Game Area,0,,,,,,Oobius only. Released as oobinators. 250 pupae to be released every week for 4 weeks (total 1000) starting on dd800.,Approved,tpetrice,Research,-84.95,43.36,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,830",ESGA4,Edmore State Game ARea,0,,,,,,Oobius only. Released as adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-84.89,43.46,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,831",ESGA9,Edmore State Game Area,0,,,,,,Oobius only. Released as adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.06,43.44,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,832",ESGA11,Edmore State Game Area,0,,,,,,Oobius only. Released in oobinators. 250 pupae released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.07,43.42,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,833",ESGA12,Edmore State Game Area,0,,,,,,Oobius only. Released in oobinators. 250 pupae released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.09,43.43,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,834",Stanton1,Stanton State Game Area,0,,,,,,Oobius only. Released as adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.01,43.29,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,836",Tamarack1,Tamarack State Game Area,0,,,,,,Oobius only. Released in oobinators. 250 pupae released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.05,42.73,Release,"5,074",,,
Michigan,"6/16/2015, 8:00 PM","2,837",Padgett,Padgett Nature Area,0,,,,,,Oobius only. Released as adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-84.59,42.83,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,838",Hunter's Orchard,Hunter's Orchard Park,0,,,,,,Oobius only. Released in oobinators. 250 pupae released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-84.66,42.77,Release,,,,
Michigan,"6/16/2015, 8:00 PM","2,839",Fox MP,Fox Memorial Park,0,,,,,,Oobius only. Released as adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-84.76,42.65,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,840",YouthCamp,"Charlotte, MI",0,,,,,,Oobius only. Released as adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-84.86,42.6,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,841",MuskratL,Muskrat Lake GA,0,,,,,,Oobius only. Released adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-84.58,42.92,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,842",Stanton3,Stanton State Game Area,0,,,,,,Oobius only. Released as adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-84.98,43.28,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,843",Stanton7,Stanton State Game Area,0,,,,,,Oobius only. Released in oobinators. 250 pupae released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.03,43.28,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,844",Stanton8,Stanton State Game Area,0,,,,,,Oobius only. Released as oobinators. 250 pupae released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.06,43.28,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,845",Colby Lake,Stanton State Game Area,0,,,,,,Oobius only. Released as adults. 250 pupae adults every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.08,43.27,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,846",Langston2,Langston State Game Area,0,,,,,,Oobius only. Released as adults. 250 adults released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.26,43.32,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,847",Stanton10,Stanton State Game Area,0,,,,,,Oobius only. Released in oobinators. 250 pupae released every week for 4 weeks (1000 total) starting on DD800.,Approved,tpetrice,Research,-85.09,43.25,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,898",Fitzgerald Park,Grand Ledge,0,,,,,,Oobius only. Released as oobinators. 250 pupa per week for 4 weeks beginning after dd800.,Approved,tpetrice,Research,-84.76,42.76,Release,,,,
Michigan,"5/5/2015, 8:00 PM","2,899",Grand Woods Park,"Lansing, MI",0,,,,,,Oobius only. Released as oobinators. 250 pupae released every week for 4 weeks after 800dd have accumulated.,Approved,tpetrice,Research,-84.61,42.76,Release,,,,
Michigan,"7/29/2015, 8:00 PM","2,941",Pokagon Lands Dowagiac,"Dowagiac, MI",516,25%,red maple,elm,black/red oak,High,Proposed release site on Pokagon Lands in area of Black Ash.,Approved,JenMK9,Program,-86.2,41.94,Release,,Lower slope,Wet all year,Connected to other woodlots
Michigan,"7/29/2015, 8:00 PM","2,952","Pokagon, New Buffalo","New Buffalo, MI",153,25%,red maple,elm,black ash,High,null,Approved,JenMK9,Program,-86.7,41.77,Release,,Lower slope,Seasonally wet,Connected to other woodlots
Michigan,"7/29/2015, 8:00 PM","2,953",Pokagon Hartford,"Hartford, MI",560,25%,red maple,sugar maple,black/red oak,High,null,Approved,JenMK9,Program,-86.21,42.22,Release,,Lower slope,Wet all year,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM","2,973",MRE_C,MRE_C,"9,999.00",,,,,,The site information needs to be updated. This site was created for leah at the database level. TCO 09_08_2015,Approved,lsbauer,Research,-84.65,43.12,Control,28,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/4/2010, 8:00 PM","3,013",Kronke,Houghton County,0,,,,,,Releases were completed by Michigan Technological University,Approved,slammtu,Research,-88.46,47.22,Release,,,,
Michigan,"8/12/2010, 8:00 PM","3,014",North Electric Park,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.47,47.22,Release,,,,
Michigan,"8/3/2011, 8:00 PM","3,015",NGMO,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.45,47.22,Release,,,,
Michigan,"8/3/2011, 8:00 PM","3,016",Pit,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.49,47.18,Release,,,,
Michigan,"8/10/2011, 8:00 PM","3,017",Gale,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.46,47.2,Release,,,,
Michigan,"8/10/2011, 8:00 PM","3,018",Rastello,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.47,47.21,Release,,,,
Michigan,"8/17/2011, 8:00 PM","3,019",Benda,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.45,47.22,Release,,,,
Michigan,"8/17/2011, 8:00 PM","3,020",SGMO,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.47,47.21,Release,,,,
Michigan,"8/25/2011, 8:00 PM","3,021",Gas Plant,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.43,47.23,Release,,,,
Michigan,"8/30/2011, 8:00 PM","3,022",Turpeinen,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.5,47.16,Release,,,,
Michigan,"7/7/2010, 8:00 PM","3,023",Tecumseh,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.46,47.22,Release,,,,
Michigan,"8/25/2010, 8:00 PM","3,024",duplicate Kronke,Houghton County,0,,,,,,Releases were performed by Michigan Technological University,Approved,slammtu,Research,-88.46,47.22,Release,,,,
Michigan,"9/2/2012, 8:00 PM","3,054",Site 1 - Southwest 80,"GH Gordon Biology Station, Luther, MI",0,,,red pine,red maple,,null,Approved,cbowyer,Program,-85.67,44.04,Release,,Middle slope,Dry all year,Connected to other woodlots
Michigan,"9/2/2012, 8:00 PM","3,055",Site 2 - Shrinking Woods,"GH Gordon Biology Station, Luther, MI",4,<25%,black/red oak,sugar maple,white ash,Medium,,Approved,cbowyer,Program,-85.67,44.05,Release,,Level,Dry all year,Isolated
Michigan,"9/2/2012, 8:00 PM","3,056",Site 3 - Hardwood Loop,"GH Gordon Biology Station, Luther, MI",0,<25%,red maple,black/red oak,white ash,Medium,,Approved,cbowyer,Program,-85.66,44.04,Release,,Middle slope,Dry all year,Connected to other woodlots
Michigan,"6/14/2016, 8:00 PM","3,073",Westrate-Cassopolis,Cassopolis,0,,,,,,This request is for Tetrastichus only. We released Oobius here in 2015.,Approved,tpetrice,Research,-85.98,42,Release,,,,
Michigan,"4/19/2016, 8:00 PM","3,134",Bay City State Park,Bay City,120,50%,green ash,other maple,other oak,Medium,This site is part of the Biological Control Rearing Facilities senior release program.,Approved,Nbarc,Program,-83.92,43.68,Release,,Lower slope,Wet all year,Connected to other woodlots
Michigan,"4/17/2016, 8:00 PM","3,135",Nayanquing Point State Wildlife Area,Pinconning,50,50%,green ash,,,Medium,This is part of the Biological Control Rearing Facilities senior release program.,Approved,Nbarc,Program,-83.93,43.82,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"4/17/2016, 8:00 PM","3,136",Dansville State Game Area,Dansville,80,50%,green ash,other maple,,Low,This release area is part of the Biological Control Rearing Facilities senior release program.,Approved,Nbarc,Program,-84.33,42.5,Release,,Lower slope,Seasonally wet,Connected to other woodlots
Michigan,"7/25/2017, 8:00 PM","3,322",UMICH GreatLakesGarden,"University of Michigan, Matthaei Botanical Gardens, 1800 N Dixboro Rd, Ann Arbor, MI 48105",0,,,,,,Released within the Great Lakes Gardens Forested Wetland and outside the fence near Fleming Creek and near the interpretive pavilion with green roof.,Approved,michkost,Research,-83.66,42.3,Release,,,,
Michigan,"7/25/2017, 8:00 PM","3,323",UMICH SmithWildflowerGarden,"University of Michigan, Matthaei Botanical Gardens, 1800 N Dixboro Rd, Ann Arbor, MI 48105",0,,,,,,Released along edges of wetland east and north of Helen V. Smith Wildflower Garden,Approved,michkost,Research,-83.66,42.3,Release,,,,
Michigan,"8/1/2017, 8:00 PM","3,324",TowarWoods,"Meridian Township Land Preserve, Margate Ln,",0,,,,,,,Approved,lsbauer,Research,-84.46,42.76,Release,"5,149",,,
Michigan,"4/22/2018, 8:00 PM","3,696","Pokagon, New Buffalo - West",New Buffalo,200,<25%,red maple,elm,green ash,High,null,Approved,JenMK9,Program,-86.72,41.77,Release,,Lower slope,Seasonally wet,Connected to other woodlots
Michigan,"4/22/2018, 8:00 PM","3,697","Pokagon, Dowagiac - East","Dowagiac, MI",50,<25%,red maple,elm,cherry,High,null,Approved,JenMK9,Program,-86.19,41.95,Release,,Lower slope,Seasonally wet,Connected to other woodlots
Michigan,"8/31/2012, 8:00 PM","3,873",Jijak 579_A,"Jijak Camp 20th Street Hopkins, MI",0,,,,,,,Approved,jlorenz,Program,-85.75,42.6,Release,,,,
Michigan,"9/4/2012, 8:00 PM","3,874",Jijak 410_B,"Jijak Camp 20th Street Hopkins, MI",0,,,,,,,Approved,jlorenz,Program,-85.75,42.6,Release,,,,
Michigan,"3/18/2019, 8:00 PM","4,000",Empire Bluffs Sleeping Bear Dunes,"Michigan, Leelanau County, Empire Township, Sleeping Bear Dunes National Lakeshore",0,,,,,,test - not released yet,Proposed,jgehring,Program,-86.07,44.8,Release,,,,
Michigan,"3/26/2019, 8:00 PM","4,022",Kings Hwy,"Peaine Twp, Beaver Island, MI",10,50%,black ash,green ash,cedar,Medium,EAB beetle adult recovered in 2018. larvae and galleries found 3/25/2019.,Approved,winklerj,Program,-85.53,45.74,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"3/26/2019, 8:00 PM","4,023",test sw,lab,50,<25%,green ash,aspen/poplar,,Low,Test Notes,Proposed,sawhitehead,Program,-85.53,45.74,Release,,,,
Michigan,"2/18/2020, 7:00 PM","4,706","Pokagon, Gage Lake","Dowagiac, MI",300,25%,red maple,elm,,Medium,,Approved,JenMK9,Program,-86.08,42.04,Release,,,Wet all year,Connected to other woodlots
Michigan,"2/18/2020, 7:00 PM","4,707","Pokagon, Orchard","Hartford, MI",0,,,,,,"I will collect tree data in Spring, prior to release.",Approved,JenMK9,Program,-86.17,42.25,Release,,,,
Michigan,"8/14/2019, 8:00 PM","4,778",SLW_C,Holly State Recreation Area,0,,,,,,Control plot for Seven Lake West release plot,Approved,lsbauer,Research,-83.51,42.79,Control,"2,104",,,
Michigan,"8/14/2019, 8:00 PM","4,779",SLHSP_C,"Mitchell Park, Corunna",0,,,,,,Control plot for Sleepy Hollow State Park release plot,Approved,lsbauer,Research,-84.13,42.99,Control,55,,,
Michigan,"8/14/2019, 8:00 PM","4,786",LKEMP_ASH,Lake Erie Metropark,0,,,,,,"Most of the Lake Erie Metropark release plot (LKEMP, ID 1765) was brush hogged in 2017. This nearby plot is where Dan Kashian is collecting ash health data.",Proposed,lsbauer,Research,-83.2,42.08,Release,,,,
Michigan,"3/30/2020, 8:00 PM","4,866","South of Nomad, East Side Dr","Peaine Twp, Beaver Island, MI",7,50%,black ash,cedar,tamarack/Eastern larch,Low,2 adult EAB in trap 9/4/2019,Approved,winklerj,Program,-85.51,45.6,Release,,Level,Wet all year,Connected to other woodlots
Michigan,"3/30/2020, 8:00 PM","4,867","Northcut Bay, Garden Island","St. James Twp, Garden Island, MI",18,<25%,cedar,aspen/poplar,black/red oak,Low,4 adult EAB caught in trap 9/4/2019,Approved,winklerj,Program,-85.49,45.78,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/25/2020, 8:00 PM","5,145",Claire test,test1,10,<25%,alder,alder,alder,Low,Test,Approved,claire,Program,-84.48,42.73,Control,"3,324",Upper slope,Dry all year,Isolated
Michigan,"8/25/2020, 8:00 PM","5,146",test3,test4,14,<25%,alder,alder,alder,Low,,Approved,claire,Program,-84.48,42.73,Control,"3,324",Upper slope,Dry all year,Isolated
