STATE,SITE_ID,COMMENTS,CONTROL,ORIGIN,TRAP_NUMBER,DATE_TRAP_SAMPLED,NUMBER_S.AGRILI_INDIVIDUALS,NUMBER_T.PLANIPENNISI_INDIVIDUALS,NUMBER_O.AGRILI,NUMBER_OF_S.AGRILI_CLUTCHES,NUMBER_OF_T.PLANIPENNISI_CLUTCHES,NUMBER_OF_ATANYCHOLUS,SAMPLE METHOD,NUMBER OF SAMPLES,POSSIBLE_EAB_PARASITOID_RECOVERED,DATE_SAMPLE_SHIPPED,SAMPLE_SHIPPED_TO,POINT_X,POINT_Y,COMMENTS_LAB,USER_ID,SITE_NAME,NUMBER_S.GALINAE_CLUTCHES
Michigan,,"EAB eggs from sieved/sorted bark sample 50x100cm, 18.5 cm DBH tree",0,,LPRB9814,"5/27/2014, 8:00 PM",0,0,4,0,0,0,Bark Sifting,13,Yes,,Leah Bauer,-84.38,42.7,,lsbauer,,0
Ohio,36,Logs reared in tubes,0,Research,vbr,"4/29/2010, 8:00 PM",0,0,3,0,0,0,Logs in Tubes,8,Yes,,Leah Bauer,-83.62,41.13,O. agrili confirmed (Juli Gould),lsbauer,vbr,0
Michigan,22,logs reared in tubes,0,Research,SR,"5/12/2010, 8:00 PM",0,0,2,0,0,0,Logs in Tubes,1,Yes,,Leah Bauer,-84.11,43.34,Oobius adult IDs confirmed by L. Bauer,lsbauer,sr,0
Michigan,,brood of 34 in L3; 9.9 cm DBH,0,,WMPS9,"2/4/2015, 7:00 PM",0,34,0,0,1,0,Tree Debarking,1,Yes,,Leah Bauer,-83.37,42.13,,lsbauer,,0
Michigan,,"known brood sizes 20, 55, 24, 13, 32, 34, 7, 90, 30, 14; 10 cm DBH",0,,WMPS8,"2/4/2015, 7:00 PM",0,320,0,0,12,0,Tree Debarking,1,Yes,,Leah Bauer,-83.37,42.13,,lsbauer,,0
Michigan,,brood size unk; 10.5 cm DBH,0,,WMPC4,"2/4/2015, 7:00 PM",0,0,0,0,1,0,Tree Debarking,1,Yes,,Leah Bauer,-83.42,42.17,,lsbauer,,0
Michigan,,12.5 cm DBH,0,,ION8,"11/13/2014, 7:00 PM",0,0,2,0,0,0,Egg Collection,1,Yes,,Leah Bauer,-85.17,42.96,,lsbauer,,0
Michigan,,,0,,DFN4,"11/30/2014, 7:00 PM",0,0,1,0,0,0,Egg Collection,5,Yes,,Leah Bauer,-83.25,43.49,,lsbauer,,0
Michigan,18,null,0,,TUSN,"11/19/2014, 7:00 PM",0,0,1,0,0,0,Egg Collection,3,Yes,,Leah Bauer,-83.37,43.44,null,lsbauer,,0
Michigan,,,0,,VBR4,"11/17/2014, 7:00 PM",0,0,1,0,0,0,Egg Collection,1,Yes,,Leah Bauer,-83.62,43.13,,lsbauer,,0
Michigan,,30 min visual search per tree,0,,DeShp6207,"10/21/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,5,Yes,,l,-86.56,45.81,Oobius ID confirmed by L.Bauer,lsbauer,,0
Michigan,,,0,,DeFFF6646,"10/21/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,3,Yes,,Leah Bauer,-86.6,45.91,Oobius ID confirmed by L.Bauer,lsbauer,,0
Michigan,,,0,,DePoL7235,"10/21/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,5,Yes,,Leah Bauer,-86.51,45.87,Oobius ID confirmed by L.Bauer,lsbauer,,0
Michigan,,,0,,DeCon6644,"10/21/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,3,Yes,,Leah Bauer,-86.49,45.9,Oobius ID confirmed by L.Bauer,lsbauer,,0
Michigan,,,0,,HoPit42,"10/14/2012, 8:00 PM",0,0,5,0,0,0,Egg Collection,16,Yes,,Leah Bauer,-88.49,47.18,Oobius ID L. Bauer,lsbauer,,0
Michigan,,,0,,HoNElec81,"10/14/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,2,Yes,,Leah Bauer,-88.49,47.23,Oobius ID confirmed by L.Bauer,lsbauer,,0
Michigan,,,0,,HoBenda82,"10/14/2012, 8:00 PM",0,0,9,0,0,0,Egg Collection,9,Yes,,Leah Bauer,-88.46,47.22,Oobius ID confirmed by L.Bauer,lsbauer,,0
New York,,Edit needed,0,,UlsterL,"8/8/2015, 8:00 PM",0,99,0,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-73.96,41.97,null,lsbauer,,0
New York,,,0,,LeggMills,"8/5/2015, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-74,41.99,T. planipennisi confirmed (Juli GOuld),lsbauer,,0
New York,,edit needed,0,,Lehigh,"8/8/2015, 8:00 PM",0,99,9,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-73.92,42.15,,lsbauer,,0
New York,,edit needed,0,,LaureTice,"8/8/2015, 8:00 PM",0,99,0,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-73.95,42.12,null,lsbauer,,0
New York,,edit needed,0,,BristBch,"8/8/2015, 8:00 PM",9,99,0,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-73.93,42.11,null,lsbauer,,0
New York,,edit needed,0,,BattCkNY,"8/8/2015, 8:00 PM",0,99,9,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-78.99,42.15,,lsbauer,,0
Illinois,51,null,0,Program,FGG,"8/10/2011, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,9,No,,Juli Gould,-87.76,41.98,Juli Gould identified as S. agrili.,juligould,FGG,0
Maryland,"1,836",Gaye Williams,0,Program,Temple H1,"7/5/2013, 8:00 PM",0,9,0,0,0,0,Logs in Tubes,1,Yes,,,-76.93,38.79,null,juligould,Temple Hill 1,0
Maryland,"1,943",null,0,Program,W. Pike,"10/3/2013, 8:00 PM",0,1,0,0,0,0,Logs in Tubes,1,Yes,,,-78.24,39.7,null,juligould,Western Pike,0
Michigan,"3,019",null,0,Research,Benda,"8/23/2012, 8:00 PM",1,0,1,0,0,0,Yellow Pan Traps,15,Yes,,,-88.45,47.22,S. agrili confirmed (Juli Gould),juligould,Benda,0
Michigan,"3,019",,0,Research,Benda,"10/31/2012, 8:00 PM",0,0,8,0,0,0,Egg Collection,8,Yes,,A.Storer shipped to L.Bauer,-88.45,47.22,Oobius ID confirmed by L.Bauer,juligould,Benda,0
Michigan,"1,773",,0,Research,BFPKLT,"8/5/2010, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adults identified by J. Hansen.,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"8/12/2010, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adult identified by J. Hansen.,juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"8/19/2010, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,null,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"8/23/2010, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adults identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"8/26/2010, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adult identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"8/30/2010, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adult identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"9/2/2010, 8:00 PM",0,4,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adults identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"9/6/2010, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adults identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"9/9/2010, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adults identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"9/12/2010, 8:00 PM",1,9,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adults identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"9/16/2010, 8:00 PM",1,7,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adults identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"9/20/2010, 8:00 PM",0,5,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.6,42.59,Tetrastichus planipennisi adults identified by J. Hansen,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"5/22/2012, 8:00 PM",0,0,8,0,0,0,Bark in Tubes,11,Yes,,Kris Abell,-84.6,42.59,Oobius confirmed by K. Abell,juligould,BFPKLT,0
Michigan,"1,773",,0,Research,BFPKLT,"5/22/2012, 8:00 PM",0,0,102,0,0,0,Egg Collection,305,Yes,,Leah Bauer,-84.6,42.59,Oobius confirmed by L. Bauer,juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"5/13/2013, 8:00 PM",0,0,4,0,0,0,Bark in Tubes,20,Yes,,Kris Abell,-84.6,42.59,Oobius confirmed (Juli Gould),juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"5/12/2013, 8:00 PM",0,0,3,0,0,0,Bark Sifting,10,Yes,,Kris Abell,-84.6,42.59,O. agrili confirmed (Juli Gould),juligould,BFPKLT,0
Michigan,"1,798",,0,Research,BFPKLT_C,"5/22/2012, 8:00 PM",0,0,1,0,0,0,Bark in Tubes,8,Yes,,Leah Bauer,-84.6,42.58,Oobius confirmed by L. Bauer,juligould,BFPKLT_C,0
Michigan,"1,798",null,0,Research,BFPKLT_C,"5/13/2013, 8:00 PM",0,0,1,0,0,0,Bark in Tubes,10,Yes,,Leah Bauer,-84.6,42.58,Oobius confirmed (Juli Gould),juligould,BFPKLT_C,0
Michigan,"1,798",null,0,Research,BFPKLT_C,"5/13/2013, 8:00 PM",0,0,3,0,0,0,Bark Sifting,10,Yes,,Leah Bauer,-84.6,42.58,O. agrili confirmed (Juli Gould),juligould,BFPKLT_C,0
Michigan,"1,769",Unemerged Oobius from sentinel eggs (J. Duan egg cohort study),0,Research,CPNMLT,"7/29/2008, 8:00 PM",0,0,1,0,0,0,Sentinel Eggs,53,Yes,,Leah Bauer,-84.42,42.73,null,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"7/1/2010, 8:00 PM",1,3,0,0,0,0,Yellow Pan Traps,10,Yes,,Leah Bauer,-84.42,42.73,Tetrastichus planipennisi adults ID by J. Hansen,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"6/30/2011, 8:00 PM",0,0,23,0,0,0,Sentinel Eggs,6,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"7/7/2011, 8:00 PM",0,0,0,0,1,15,Sentinel Larvae,6,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"7/14/2011, 8:00 PM",0,0,23,0,0,0,Sentinel Eggs,6,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"7/24/2011, 8:00 PM",0,0,19,0,0,0,Sentinel Eggs,6,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"8/11/2011, 8:00 PM",0,0,133,0,0,0,Sentinel Eggs,6,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"8/25/2011, 8:00 PM",0,0,89,0,0,0,Sentinel Eggs,6,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"9/1/2011, 8:00 PM",0,0,0,0,1,8,Sentinel Larvae,6,Yes,,Kris Abell,-84.42,42.73,T. planipennisi ID by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"9/8/2011, 8:00 PM",0,0,80,0,0,0,Sentinel Eggs,6,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"9/21/2011, 8:00 PM",0,0,22,0,0,0,Sentinel Eggs,6,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"5/16/2012, 8:00 PM",0,0,5,0,0,0,Bark in Tubes,18,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed K. Abell,juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"5/17/2012, 8:00 PM",0,0,53,0,0,0,Egg Collection,274,Yes,,Kris Abell,-84.42,42.73,Oobius ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,769",null,0,Research,CPNMLT,"5/7/2013, 8:00 PM",0,0,5,0,0,0,Bark Sifting,10,Yes,,Kris Abell,-84.42,42.73,O. agrili confirmed (Juli Gould),juligould,CPNMLT,0
Michigan,"1,769",,0,Research,CPNMLT,"6/3/2013, 8:00 PM",0,0,2,0,0,0,Bark Sifting,10,Yes,,Kris Abell,-84.42,42.73,O. agrili ID confirmed by K. Abell,juligould,CPNMLT,0
Michigan,"1,793",,0,Research,CPNMLT_C,"5/17/2012, 8:00 PM",0,0,2,0,0,0,Bark in Tubes,19,Yes,,Kris Abell,-84.42,42.74,Oobius ID confirmed by K. Abell,juligould,CPNMLT_C,0
Michigan,"1,793",null,0,Research,CPNMLT_C,"5/8/2013, 8:00 PM",0,0,3,0,0,0,Bark Sifting,10,Yes,,Kris Abell,-84.42,42.74,O. agrili confirmed (Juli Gould),juligould,CPNMLT_C,0
Michigan,61,null,0,Research,Delta Co.,"8/26/2012, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-86.56,45.91,T. planipennisi (Juli Gould),juligould,Delta Co. Park Site,0
Michigan,10,null,0,Research,dfg,"9/30/2012, 8:00 PM",0,0,0,0,1,19,Tree Debarking,4,Yes,,Juli Gould,-83.23,43.5,Juli Gould,juligould,dfg,0
Michigan,"1,953",,0,Program,ForestFut,"10/31/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,6,Yes,,A.Storer shipped to L.Bauer,-86.6,45.91,Oobius ID confirmed by L.Bauer,juligould,Forest of the Future,0
Michigan,"1,902",,0,Program,Gas Plant,"10/31/2012, 8:00 PM",0,0,6,0,0,0,Egg Collection,6,Yes,,Andrew Storer shipped to L.Bauer,-88.43,47.23,Oobius ID confirmed by L.Bauer,juligould,Gas Plant,0
Michigan,26,,0,Research,GSW_C,"9/30/2012, 8:00 PM",0,0,1,0,2,0,Tree Debarking,4,Yes,,Jian Duan,-84.45,43.21,IDs confirmed J.Duan,juligould,GSW_C,0
Michigan,25,Juli Gould,0,Research,GSW,"2/22/2010, 7:00 PM",52,7,0,8,1,0,Tree Debarking,4,Yes,,Juli Gould,-84.45,43.23,null,juligould,GSW,0
Michigan,25,,0,Research,GSW,"2/22/2010, 7:00 PM",0,0,4,0,0,0,Bark in Tubes,0,Yes,,Leah Bauer,-84.45,43.23,Oobius ID confirmed by L. Bauer,juligould,GSW,0
Michigan,25,,0,Research,GSW,"5/21/2012, 8:00 PM",0,0,3,0,0,0,Egg Collection,253,Yes,,Leah Bauer,-84.45,43.23,Oobius ID confirmed by L. Bauer,juligould,GSW,0
Michigan,25,,0,Research,GSW,"5/21/2012, 8:00 PM",0,0,3,0,0,0,Bark in Tubes,11,Yes,,Kris Abell,-84.45,43.23,Oobius confirmed by K. Abell,juligould,GSW,0
Michigan,25,,0,Research,GSW,"9/30/2012, 8:00 PM",0,0,16,0,4,77,Tree Debarking,4,Yes,,Juli Gould,-84.45,43.23,IDs confirmed J. Duan,juligould,GSW,0
Michigan,25,,0,Research,GSW,"5/20/2013, 8:00 PM",0,0,2,0,0,0,Bark in Tubes,10,Yes,,Kris Abell,-84.45,43.23,Oobius confirmed (Juli Gould),juligould,GSW,0
Michigan,25,,0,Research,GSW,"5/20/2013, 8:00 PM",0,0,16,0,0,0,Bark Sifting,10,Yes,,Kris Abell,-84.45,43.23,O. agrili confirmed (Juli Gould),juligould,GSW,0
Michigan,26,,0,Research,GSW_C,"5/21/2012, 8:00 PM",0,0,1,0,0,0,Bark Sifting,12,Yes,,Kris Abell,-84.45,43.21,Oobius confirmed by K. Abell,juligould,GSW_C,0
Michigan,26,,0,Research,GSW_C,"5/20/2013, 8:00 PM",0,0,1,0,0,0,Bark Sifting,10,Yes,,Kris Abell,-84.45,43.21,O. agrili confirmed (Juli Gould),juligould,GSW_C,0
Michigan,58,,0,Research,Kronke,"8/22/2012, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-88.46,47.22,T. planipennisi confirmed (Juli Gould),juligould,Kronke Site,0
Michigan,58,,0,Research,Kronke,"9/17/2012, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-88.46,47.22,No exotic EAB parasitoids found (Juli Gould),juligould,Kronke Site,0
Michigan,"1,770",,0,Research,LPTFLT,"7/15/2010, 8:00 PM",2,0,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,S. agrili adults ID by J. Hansen,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"7/26/2010, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,Tetrastichus planipennisi adults identified by J. Hansen,juligould,LPRFLT,0
Indiana,,positive ID,0,,Doak1,"5/4/2016, 8:00 PM",0,225,0,0,8,0,Logs in Tubes,8,Yes,,Leah Bauer,-87.26,41.37,"Tet adults emerged in labe (2/13-5/17/16 from white ash trees. 193F+32M from ~8 broods @ 1 brood/60cm logs, diameters ranging from 11 to 16.5 cm",lsbauer,,0
Michigan,"1,770",,0,Research,LPRFLT,"8/3/2010, 8:00 PM",0,4,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hanson,-84.38,42.7,Tetrastichus planipennisi adults identified by J. Hansen,juligould,LPRFLT,0
Michigan,"1,770",null,0,Research,LPRFLT,"8/5/2010, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hanson,-84.38,42.7,null,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"8/3/2010, 8:00 PM",0,4,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,Tetrastichus planipennisi adults identified by J. Hansen.,juligould,LPRFLT,0
Michigan,33,null,0,Research,IOG,"8/28/2012, 8:00 PM",0,1,0,0,0,7,Yellow Pan Traps,12,Yes,,Juli Gould,-85.12,42.96,Atanycolus and T. planipennisi confirmed (Juli Gould),juligould,IOG,0
Michigan,32,null,0,Research,ION,"8/26/2012, 8:00 PM",1,0,0,0,0,2,Yellow Pan Traps,12,Yes,,Juli Gould,-85.12,42.96,S. agrili and Atanycolus confirmed (Juli Gould),juligould,ION,0
New Hampshire,"2,532",peeled bark on tree 5ft. from release tree. found 2 EAB galleries filled with T.p. larvae. second tree had 5 dead t.p adults that had failed to emerge.,0,Program,SPNHF1,"2/22/2016, 7:00 PM",0,0,0,0,2,0,Tree Debarking,2,Yes,,,-71.53,43.23,,MollyHeuss,SPNHF,0
Michigan,"1,770",,0,Research,LPRFLT,"8/5/2010, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"8/9/2010, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,Tetrastichus planipennisi adults identified by J. Hansen.,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"8/12/2010, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"8/30/2010, 8:00 PM",2,0,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"9/6/2010, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,10,Yes,,,-84.38,42.7,Tetrastichus planipennisi adult identified by J. Hansen,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"9/16/2010, 8:00 PM",1,1,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,Tetrastichus planipennisi adult identified by J. Hansen,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"9/23/2010, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,10,Yes,,Jason Hansen,-84.38,42.7,Tetrastichus planipennisi adults identified by J. Hansen,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"5/21/2012, 8:00 PM",0,0,10,0,0,0,Egg Collection,91,Yes,,Leah Bauer,-84.38,42.7,Oobius confirmed by L. Bauer,juligould,LPRFLT,0
Michigan,"1,770",,0,Research,LPRFLT,"5/7/2013, 8:00 PM",0,,7,0,0,0,Bark in Tubes,10,Yes,,Kris Abel,-84.38,42.7,Oobius ID K.Abell,juligould,LPRFLT,0
Michigan,28,,0,Research,MR2N,"9/3/2012, 8:00 PM",0,1,0,0,0,12,Yellow Pan Traps,12,Yes,,Juli Gould,-84.66,43.13,T. planipennisi and Atanycolus confirmed (Juli Gould),juligould,MR2N,0
Michigan,"1,803",Oobius unemerged from sentinel eggs (J. Duan egg cohort study).,0,Program,MSUDR,"7/2/2008, 8:00 PM",0,0,2,0,0,0,Sentinel Eggs,27,Yes,,Leah Bauer,-84.41,42.7,,juligould,MSUDR,0
Michigan,"1,803",,0,Program,MSUDR,"7/29/2008, 8:00 PM",0,0,1,0,0,0,Egg Collection,49,Yes,,Leah Bauer,-84.41,42.7,Oobius ID confirmed by L. Bauer,juligould,MSUDR,0
Michigan,"3,014",,0,Research,N.ElecPk.,"10/31/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,1,Yes,,A.Storer shipped to L.Bauer,-88.47,47.22,Oobius ID confirmed by L.Bauer,juligould,North Electric Park,0
Michigan,,,0,,MSUTRC2,"6/30/2010, 8:00 PM",0,0,0,0,8,0,Tree Debarking,86,Yes,,Deb Mcullough,-84.46,42.68,Tetrastichus planipennisi (individuals not counted). ID by D. McCullough,juligould,,0
Michigan,,,0,,WhitmLk1,"10/31/2011, 8:00 PM",0,41,,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-83.7,42.44,T. planipennisi adult ID J. Lelito,juligould,,0
Michigan,,,0,,IsLake1,"11/28/2011, 7:00 PM",0,22,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-83.72,42.5,T. planipennisi adult ID J. Lelito,juligould,,0
Michigan,,,0,,Charlot1,"12/4/2011, 7:00 PM",0,32,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.84,42.52,T. planipennisi adult ID J. Lelito,juligould,,0
Michigan,,,0,,Charlot2,"11/30/2011, 7:00 PM",0,123,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.84,42.52,T. planipennisi adult ID J. Lelito,juligould,,0
Michigan,,,0,,Bellevu1,"5/21/2012, 8:00 PM",0,70,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-85.01,42.51,T. planipennisi adult ID by J. Lelito,juligould,,0
Michigan,,,0,,Ionia1,"6/30/2012, 8:00 PM",0,0,0,0,6,0,Tree Debarking,15,Yes,,Deb McCullough,-85.12,42.96,T.planipennisi ID by D.McCullough,juligould,,0
Michigan,,,0,,MapleR1,"6/30/2012, 8:00 PM",0,0,0,0,90,0,Tree Debarking,25,Yes,,Deb McCullough,-84.5,43.15,Tetrastichus planipennisi ID confirmed by D. McCullough,juligould,,0
Michigan,,,0,,MapleR2,"6/30/2012, 8:00 PM",0,0,0,0,10,0,Tree Debarking,15,Yes,,Deb McCullough,-84.54,43.15,Tetrastichus planipennisi ID confirmed by D. McCullough,juligould,,0
Michigan,,,0,,TRCMSU3,"6/30/2012, 8:00 PM",0,0,0,0,8,0,Tree Debarking,18,Yes,,Deb McCullough,-84.46,42.68,Tetrastichus planipennisi ID confirmed by D. McCullough,juligould,,0
Michigan,,,0,,PortSGA,"6/30/2012, 8:00 PM",0,0,0,0,1,0,Tree Debarking,20,Yes,"6/30/2012, 8:00 PM",Deb McCullough,-84.93,42.81,Tetrastichus planipennisi ID confirmed by D. McCullough,juligould,,0
Michigan,,,0,,Bright1,"9/5/2012, 8:00 PM",0,52,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-83.86,42.51,Tetrastichus planipennisi ID J. Lelito,juligould,,0
Michigan,,,0,,DeltSch1,"10/31/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,16,Yes,,A.Storer shipped to L.Bauer,-86.49,45.9,Oobius ID confirmed by L.Bauer,juligould,,0
Michigan,,,0,,Alma10,"2/14/2013, 7:00 PM",0,7,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.76,43.36,T.planipennisi ID J.Lelito,juligould,,0
Michigan,,,0,,Alma09,"2/24/2013, 7:00 PM",0,24,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.74,43.36,T. planipennisi adult ID J.Lelito,juligould,,0
Michigan,,,0,,Alma08,"3/5/2013, 7:00 PM",0,30,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.74,43.36,T. planipennisi ID J.Lelito,juligould,,0
Michigan,,,0,,TRCMSU2,"6/30/2013, 8:00 PM",0,0,0,0,30,0,Tree Debarking,59,Yes,,Deb McCullough,-84.46,42.68,Deb McCullough confirmed ID of T. planipennisi,juligould,,0
Michigan,,,0,,MRWEST2,"6/30/2013, 8:00 PM",0,,0,0,1,0,Tree Debarking,12,Yes,,Deb McCullough,-84.87,43.03,Deb McCullough confirmed ID of T.planipennisi,juligould,,0
Michigan,,,0,,Alma07,"9/16/2013, 8:00 PM",0,25,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.76,43.36,T. planipennisi ID J.Lelito,juligould,,0
Michigan,,,0,,Alma06,"9/17/2013, 8:00 PM",0,2,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.76,43.36,T. planipennisi ID J.Lelito,juligould,,0
Michigan,,,0,,Alma05,"9/24/2013, 8:00 PM",0,5,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.76,43.36,Jon Lelito confirmed ID,juligould,,0
